datetime,filename,corr_offset_x,corr_offset_y,corr_offset_units,corr_rate_x,corr_rate_y,corr_rate_units,scan_matched
2025-07-17T20:27:38.996591+00:00,./0.png,,,,,,,False
2025-07-17T20:27:48.018006+00:00,./1.png,-22.570368180773144,9.064932505665583,nm,-2.501865636463143,1.004823800442124,nm/s,True
2025-07-17T20:27:53.692978+00:00,./2.png,-36.82845588634658,14.71174277257496,nm,-2.5124507584484004,0.9950375555878296,nm/s,True
2025-07-17T20:27:59.084856+00:00,./3.png,-50.31575538506636,20.143702863650017,nm,-2.5014103617922694,1.0074337904298012,nm/s,True
2025-07-17T20:28:03.643995+00:00,./4.png,-61.753631366589474,24.717834421600923,nm,-2.5087798335438145,1.0032884625695566,nm/s,True
2025-07-17T20:28:13.886667+00:00,./5.png,-87.39592268707946,34.955508325213145,nm,-2.503476760799329,0.9995120319787866,nm/s,True
2025-07-17T20:28:19.044388+00:00,./6.png,-100.24473334640759,40.12411195952644,nm,-2.491179856244285,1.0021099695608382,nm/s,True
2025-07-17T20:28:24.802687+00:00,./7.png,-114.66744287229324,45.86734792733973,nm,-2.5046822900105843,0.9973841177426335,nm/s,True
2025-07-17T20:28:30.192661+00:00,./8.png,-128.19312143112506,51.20815145104078,nm,-2.5094144348065175,0.9908774186482253,nm/s,True
2025-07-17T20:28:35.148759+00:00,./9.png,-140.4352257427589,56.16716073196595,nm,-2.4701094109990986,1.0005874139141673,nm/s,True
2025-07-17T20:28:39.879947+00:00,./10.png,-152.33606534605764,61.00457708349315,nm,-2.515401967391435,1.02245278596564,nm/s,True
2025-07-17T20:28:50.296747+00:00,./11.png,-178.49059163651123,71.31778962946775,nm,-2.5108023856130077,0.990055731700196,nm/s,True
2025-07-17T20:28:54.764863+00:00,./12.png,-189.53751695514262,75.82828683646382,nm,-2.4723900003114023,1.0094852521725195,nm/s,True
datetime,filename,corr_offset_x,corr_offset_y,corr_offset_units,corr_rate_x,corr_rate_y,corr_rate_units,scan_matched
2025-07-17T20:42:47.225228+00:00,./0.png,,,,,,,False
2025-07-17T20:42:56.228608+00:00,./1.png,-22.540106951871657,9.139928698752229,nm,-2.5035161185989767,1.0151663818201864,nm/s,True
